,abstenciones,acta_id,ausentes,base_mayoria,fecha,hora,nroperiodo,numero,persona_id,presidente_id,presidente_nombre,resultado,reunion,sesion,sesion_id,tipo_mayoria,tipo_periodo,tipo_sesion,titulo,votos_afirmativos,votos_negativos
0,4,3761,48,Votos Emitidos,2018-03-21,17:02,136,3,,,MONZÓ Emilio,NEGATIVO,2,2,HCDN136R02,Dos tercios,Ordinario,Tablas,Pedido de Incorporación del Expediente 958-D-2018. Votación.,96,108
1,8,3762,45,Votos Emitidos,2018-03-21,18:21,136,4,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 3337-D-2017. Votación.,202,1
2,3,3763,35,Votos Emitidos,2018-03-21,18:44,136,5,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 1054-D-2018 - Orden del Día 19 - Votación en General y Particular.,218,0
3,1,3764,43,Votos Emitidos,2018-03-21,19:17,136,6,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 146-S-2017 - Orden del Día 18 - Votación en General y Particular.,212,0
4,0,3765,29,Votos Emitidos,2018-03-22,01:39,136,7,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 6828-D-2017 - Orden del Día 23. Votación en General.,140,87
5,18,3766,29,Votos Emitidos,2018-03-22,01:50,136,8,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 6830-D-2017 - Orden del Día 22. Votación en General.,140,69
6,24,3767,30,Votos Emitidos,2018-03-22,02:16,136,9,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,Expediente 6829-D-2017 - Orden del Día 24. Votación en General.,139,63
7,1,3768,44,Votos Emitidos,2018-03-22,02:33,136,10,,,MONZÓ Emilio,NEGATIVO,2,2,HCDN136R02,Dos tercios,Ordinario,Tablas,"Solicitud de Tratamiento sobre Tablas solicitado por el Diputado NEGRI, Mario Raúl.",131,80
8,0,3759,19,Votos Emitidos,2018-03-21,14:54,136,1,,,MONZÓ Emilio,AFIRMATIVO,2,2,HCDN136R02,Dos tercios,Ordinario,Tablas,Aprobación del Plan de Labor Parlamentaria. Votación.,167,70
9,0,3760,18,Votos Emitidos,2018-03-21,14:56,136,2,,,MONZÓ Emilio,NEGATIVO,2,2,HCDN136R02,Más de la mitad,Ordinario,Tablas,"Moción de Orden solicitada por el Diputado ROSSI, Agustín. Votación.",88,150
10,0,3777,25,Legisladores Presentes,2018-04-25,14:13,136,9,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Más de la mitad,Ordinario,Especial,"Moción de Orden solicitada por el Diputado NEGRI, Mario Raúl.",105,126
11,0,3793,71,Legisladores Presentes,2018-04-25,16:11,136,25,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 4005-D-2017. Votación.,88,97
12,0,3778,23,Legisladores Presentes,2018-04-25,14:15,136,10,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1933-D-2018. Votación.,130,103
13,0,3794,64,Legisladores Presentes,2018-04-25,16:18,136,26,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 3892-D-2017. Votación.,95,97
14,0,3779,28,Legisladores Presentes,2018-04-25,14:23,136,11,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1766-D-2018. Votación.,127,101
15,0,3795,54,Legisladores Presentes,2018-04-25,16:30,136,27,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1685-D-2018. Votación.,103,99
16,0,3780,30,Legisladores Presentes,2018-04-25,14:25,136,12,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1477-D-2018. Votación.,126,100
17,0,3796,46,Legisladores Presentes,2018-04-25,16:39,136,28,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2094-D-2018. Votación.,109,101
18,0,3781,30,Legisladores Presentes,2018-04-25,14:34,136,13,,,GIOJA José Luis,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1322-D-2018. Votación.,128,98
19,0,3797,39,Legisladores Presentes,2018-04-25,16:47,136,29,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2011-D-2018. Votación.,114,103
20,0,3782,24,Legisladores Presentes,2018-04-25,14:47,136,14,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 775-D-2018. Votación.,129,103
21,4,3798,40,Legisladores Presentes,2018-04-25,16:57,136,30,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2310-D-2018. Votación.,105,107
