,Unnamed: 0,es_oficialismo,0_presencia,0_apoyo,1_presencia,1_apoyo,2_presencia,2_apoyo,3_presencia,3_apoyo,nroperiodo,tipo_mayoria,resultado,periodo_Extraordinario,periodo_Ordinario,periodo_Prórroga,sesion_Especial,sesion_Preparatoria,sesion_Tablas
701,701,1,0.912280701754386,1.0,0.7105263157894737,1.0,0.4,1.0,0.7272727272727273,1.0,131,0,1,0,1,0,0,0,1
196,196,0,0.4714285714285714,1.0,0.902439024390244,1.0,0.8888888888888888,1.0,0.8260869565217391,1.0,135,0,1,0,1,0,1,0,0
761,761,1,0.991304347826087,1.0,0.6842105263157895,-0.3076923076923077,0.0,,0.0,,130,0,1,0,1,0,1,0,0
424,424,0,0.5362318840579711,-0.972972972972973,0.9047619047619048,1.0,0.9166666666666666,1.0,0.7391304347826086,1.0,134,0,1,0,1,0,1,0,0
836,836,1,0.8434782608695652,1.0,0.5789473684210527,1.0,0.42857142857142855,1.0,0.3636363636363637,1.0,130,0,1,0,1,0,0,0,1
934,934,0,0.7538461538461538,-1.0,0.9636363636363636,1.0,0.9230769230769232,1.0,0.6111111111111112,0.4545454545454545,137,0,1,0,1,0,1,0,0
517,517,1,0.8991596638655462,1.0,0.7837837837837838,1.0,0.6666666666666666,1.0,0.29411764705882354,1.0,132,0,1,0,1,0,0,0,1
239,239,0,0.7076923076923077,-1.0,0.9636363636363636,1.0,1.0,1.0,0.8947368421052632,0.6470588235294118,135,0,1,1,0,0,1,0,0
379,379,0,0.8428571428571429,-1.0,0.9047619047619048,1.0,0.9722222222222222,1.0,0.8695652173913043,1.0,134,0,1,0,1,0,1,0,0
771,771,1,0.7478260869565218,0.9883720930232558,0.6052631578947368,0.7826086956521741,0.047619047619047616,1.0,0.4545454545454545,-1.0,130,0,1,0,1,0,0,0,1
736,736,1,0.9090909090909092,1.0,0.6052631578947368,1.0,0.2727272727272727,1.0,0.3,1.0,131,0,1,0,1,0,1,0,0
189,189,0,0.3857142857142857,1.0,0.6585365853658537,1.0,0.75,0.9629629629629628,0.6086956521739131,1.0,135,0,1,0,1,0,1,0,0
393,393,0,0.22857142857142854,-1.0,0.9523809523809524,1.0,0.8611111111111112,1.0,0.7391304347826086,1.0,134,0,1,0,1,0,1,0,0
728,728,1,0.9272727272727272,1.0,0.6578947368421053,1.0,0.3636363636363637,1.0,0.3,1.0,131,0,1,0,1,0,1,0,0
754,754,1,0.982608695652174,0.9734513274336284,0.7631578947368421,-1.0,0.7619047619047619,-0.9375,0.9090909090909092,-1.0,130,0,1,0,1,0,0,0,1
612,612,1,0.9736842105263158,1.0,0.8888888888888888,-0.9375,0.8888888888888888,-1.0,0.7058823529411765,0.0,132,0,1,0,0,1,1,0,0
519,519,1,0.7899159663865546,1.0,0.7567567567567568,1.0,0.6111111111111112,1.0,0.4117647058823529,1.0,132,0,1,0,1,0,0,0,1
190,190,0,0.6428571428571429,1.0,0.8536585365853658,1.0,0.9166666666666666,1.0,0.7391304347826086,1.0,135,0,1,0,1,0,1,0,0
856,856,1,0.7906976744186046,1.0,0.8372093023255814,1.0,0.6428571428571429,1.0,0.8947368421052632,1.0,129,0,1,0,1,0,0,0,1
442,442,0,0.9714285714285714,1.0,0.9523809523809524,-1.0,0.8611111111111112,-1.0,1.0,1.0,134,0,1,1,0,0,1,0,0
676,676,1,0.9913793103448276,0.9130434782608696,0.0,,0.0,,0.0,,131,0,1,0,1,0,1,0,0
980,980,0,0.9833333333333332,1.0,0.8431372549019608,-1.0,0.851063829787234,-1.0,0.8666666666666667,-1.0,137,0,1,1,0,0,1,0,0
169,169,0,0.2857142857142857,0.6,0.7804878048780488,0.15625,0.75,0.5555555555555556,0.5652173913043478,0.7692307692307693,135,0,1,0,1,0,1,0,0
853,853,1,0.6395348837209303,1.0,0.6976744186046512,0.8666666666666667,0.42857142857142855,-0.5,0.5789473684210527,-0.7272727272727273,129,0,1,0,1,0,0,0,1
668,668,1,0.9913793103448276,0.9130434782608696,0.0,,0.0,,0.0,,131,0,1,0,1,0,1,0,0
605,605,1,0.9736842105263158,1.0,0.8888888888888888,-0.9375,0.8888888888888888,-1.0,0.7058823529411765,-1.0,132,0,1,0,0,1,1,0,0
964,964,0,0.7538461538461538,0.979591836734694,0.6545454545454545,0.9444444444444444,0.8205128205128205,1.0,0.4117647058823529,1.0,137,0,1,0,1,0,1,0,0
674,674,1,0.9913793103448276,0.9130434782608696,0.0,,0.0,,0.0,,131,0,1,0,1,0,1,0,0
100,100,0,0.7230769230769231,-1.0,0.8363636363636363,1.0,0.725,1.0,0.7222222222222222,0.8461538461538461,136,0,1,1,0,0,1,0,0
797,797,1,0.8869565217391304,1.0,0.4473684210526316,1.0,0.2380952380952381,1.0,0.0,,130,0,1,0,1,0,1,0,0
513,513,1,0.9579831932773109,-1.0,0.8648648648648649,1.0,0.8333333333333334,1.0,0.5882352941176471,1.0,132,1,0,0,1,0,0,0,1
454,454,1,0.9385964912280702,1.0,0.8857142857142857,1.0,0.7222222222222222,1.0,0.5882352941176471,1.0,133,0,1,0,1,0,0,0,1
376,376,0,0.8428571428571429,-0.9661016949152542,0.9285714285714286,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
122,122,0,0.8571428571428571,1.0,0.8780487804878049,-1.0,0.8888888888888888,-1.0,0.8260869565217391,1.0,135,2,0,0,1,0,1,0,0
106,106,0,0.8285714285714286,1.0,0.8048780487804879,1.0,0.8888888888888888,1.0,0.75,1.0,135,0,1,0,1,0,1,0,0
287,287,0,0.9367088607594936,-1.0,0.9761904761904762,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
734,734,1,0.8818181818181818,0.9793814432989691,0.631578947368421,1.0,0.3636363636363637,1.0,0.3,1.0,131,0,1,0,1,0,1,0,0
399,399,0,0.8714285714285714,1.0,0.9761904761904762,1.0,0.9722222222222222,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
506,506,1,0.9663865546218487,1.0,0.7837837837837838,-0.10344827586206896,0.3888888888888889,-0.8571428571428571,0.5882352941176471,0.0,132,0,1,0,1,0,1,0,0
157,157,0,0.7285714285714285,0.8235294117647058,0.8780487804878049,1.0,0.8611111111111112,0.967741935483871,0.6521739130434783,-0.8,135,0,1,0,1,0,1,0,0
815,815,1,0.8869565217391304,0.9607843137254902,0.5789473684210527,0.9545454545454546,0.2857142857142857,1.0,0.2727272727272727,1.0,130,0,1,0,1,0,0,0,1
352,352,0,0.6,-1.0,0.8809523809523809,1.0,0.9444444444444444,0.9705882352941176,0.7391304347826086,1.0,134,0,1,0,1,0,1,0,0
789,789,1,0.982608695652174,1.0,0.8421052631578947,-1.0,0.6666666666666666,-1.0,0.9090909090909092,-1.0,130,0,1,0,1,0,1,0,0
953,953,0,0.8153846153846154,0.981132075471698,0.7636363636363637,0.9285714285714286,0.8205128205128205,0.96875,0.4117647058823529,1.0,137,0,1,0,1,0,1,0,0
343,343,0,0.7857142857142857,1.0,0.8809523809523809,1.0,0.9166666666666666,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
